brand,phone_name,phone_price,phone_image,available_status,average_rating,battery_rating,camera_rating,design_rating,performance_rating,connectivity_rating,user_rating,cpu,density,diagonal,processor_model,resolution,screen_type,size,usable_surface,weight,aspect_ratio
Google,Google Pixel 2 XL,223,//cdn-files.kimovil.com/phone_front/0001/94/thumb_93317_phone_front_x_small.jpeg,On Sale,7.2,6.1,7.6,6.9,7.4,8.1,0,4x 2.45 GHz Kryo + 4x 2.15 GHz Kryo,538 ppi Very high density,6,Qualcomm Snapdragon 835,1440 x 2880 px,pOLED,76.7 mm  157.9 mm  7.9 mm,76%,175 g,18:09
Google,Google Pixel 2,171,//cdn-files.kimovil.com/phone_front/0001/94/thumb_93287_phone_front_x_small.jpeg,On Sale,6.7,3.8,7.7,6.7,7.2,8.1,0,4x 2.45 GHz Kryo + 4x 2.15 GHz Kryo,443 ppi Very high density,5,Qualcomm Snapdragon 835,1080 x 1920 px,pOLED,69.7 mm  145.7 mm  7.8 mm,67%,143 g,16:09
Google,Google Pixel 3,358,//cdn-files.kimovil.com/phone_front/0002/62/thumb_161509_phone_front_x_small.jpeg,On Sale,7.1,4.4,7,7.5,7.8,8.9,0,4x2.8 GHz Kryo 385 + 4x1.8 GHz Kryo 385,439 ppi Very high density,5.5,Qualcomm Snapdragon 845,1080 x 2160 px,pOLED,68.2 mm  145.6 mm  7.9 mm,78%,148 g,18:09
Google,Google Pixel 3 XL,383,//cdn-files.kimovil.com/phone_front/0002/62/thumb_161490_phone_front_x_small.jpeg,On Sale,7.6,5.9,7,8.5,7.8,8.9,0,4x2.8 GHz Kryo 385 + 4x1.8 GHz Kryo 385,522 ppi Very high density,6.3,Qualcomm Snapdragon 845,1440 x 2960 px,pOLED,76.7 mm  158.0 mm  7.9 mm,83%,184 g,18:09
Google,Google Pixel 3a XL,434,//cdn-files.kimovil.com/phone_front/0003/08/thumb_207251_phone_front_x_small.jpeg,On Sale,7.1,6.3,7.7,5.8,7.1,8.4,0,2x Kryo 360 2Ghz,402 ppi Very high density,6,Qualcomm Snapdragon 670,1080 x 2160 px,Oled,76.1 mm  160.1 mm  8.2 mm,76%,167 g,18:09
Google,Google Pixel 3a,541,//cdn-files.kimovil.com/phone_front/0003/08/thumb_207251_phone_front_x_small.jpeg,On Sale,6.8,4.8,7.7,5.8,7.1,8.4,0,2x Kryo 360 2Ghz,441 ppi Very high density,5.6,Qualcomm Snapdragon 670,1080 x 2220 px,Oled,70.1 mm  151.3 mm  8.2 mm,75%,147 g,18.5:9
Google,Google Pixel 4 XL,804,//cdn-files.kimovil.com/phone_front/0003/63/thumb_262010_phone_front_x_small.jpeg,On Sale,7.9,6.4,8.5,7.9,8.3,8.3,0,1x2.84 GHz Kryo 485 + 3x2.4 GHz Kryo 485 + 4x1.8 GHz Kryo 485,534 ppi Very high density,6.3,Qualcomm Snapdragon 855,1440 x 3040 px,Oled,75.1 mm  160.4 mm  8.2 mm,82%,193 g,19:09
Google,Google Pixel 4,635,//cdn-files.kimovil.com/phone_front/0003/63/thumb_262010_phone_front_x_small.jpeg,On Sale,7.3,4,8.5,7.3,8.3,8.3,0,1x2.84 GHz Kryo 485 + 3x2.4 GHz Kryo 485 + 4x1.8 GHz Kryo 485,443 ppi Very high density,5.7,Qualcomm Snapdragon 855,1080 x 2280 px,Oled,68.8 mm  147.1 mm  8.2 mm,80%,162 g,19:09
Oppo,Oppo R7 Plus,150,//cdn-files.kimovil.com/phone_front/0001/06/thumb_5286_phone_front_x_small.jpeg,On Sale,5.7,6.7,6.3,5.1,4.3,6.3,0,Cortex A53,367 ppi High Density,6,Qualcomm Snapdragon 615 MSM8939,1080 x 1920 px,LCD IPS,82.3 mm  158.0 mm  7.8 mm,76%,203 g,16:09
Oppo,Oppo R7s,135,//cdn-files.kimovil.com/phone_front/0001/07/thumb_6172_phone_front_x_small.jpeg,On Sale,4.8,4.3,3.2,5.8,4.5,6.2,0,Cortex A53,401 ppi Very high density,5.5,Qualcomm Snapdragon 615 MSM8939,1080 x 1920 px,Amoled,75.4 mm  151.8 mm  7.0 mm,72%,155 g,16:09
