brand,phone_name,phone_price,phone_image,available_status,average_rating,battery_rating,camera_rating,connectivity_rating,performance_rating,design_rating,user_rating,battery,cpu,density,diagonal,front_camera,main_camera,os,os_version,processor_model,ram,resolution,screen_type,size,storage,usable_surface,weight,aspect_ratio
Xiaomi,Xiaomi Mi5s,198,//cdn-files.kimovil.com/phone_front/0001/40/thumb_39140_phone_front_x_small.jpeg,On Sale,6.4,5.6,7.3,6.6,6.7,5.8,0,3200 mAh,Dual cluster Kryo 2x2.15GHz + 2x1.6GHz,428 ppi Very high density,5.15,4 Mpx/2.0,12 Mpx/2.0,Android 8.0Oreo,MIUI V10 (Android 8.1 Oreo),Qualcomm Snapdragon 821 2.15GHz,3 GB RAM,1080 x 1920 px,LCD IPS,70.3 mm  145.6 mm  8.3 mm,64 GB,71%,145 g,16:09
Xiaomi,Xiaomi Mi Note 2,162,//cdn-files.kimovil.com/phone_front/0001/43/thumb_42484_phone_front_x_small.jpeg,On Sale,7.2,7.5,7,7,7.1,7.4,0,4070 mAh,Dual cluster Kryo 2x2.35GHz + 2x1.6GHz,386 ppi High Density,5.7,8 Mpx/2.0,22.5 Mpx/2.0,Android 9.0P,MIUI V11 (Android 9 P),Qualcomm Snapdragon 821 2.35GHz,4 GB RAM,1080 x 1920 px,Oled,77.3 mm  156.2 mm  7.6 mm,64 GB,74%,166 g,16:09
Xiaomi,Xiaomi Redmi 4A,90,//cdn-files.kimovil.com/phone_front/0001/44/thumb_43936_phone_front_x_small.jpeg,On Sale,4.8,5.4,4.2,4.7,4.7,5.2,0,3120 mAh,ARM Cortex,294 ppi Medium Density,5,5 Mpx/--,13 Mpx/2.2,Android 7.0Nougat,MIUI V10 (Android 7 Nougat),Qualcomm Snapdragon 425 MSM8917,2 GB RAM,720 x 1280 px,LCD IPS,70.4 mm  139.5 mm  8.5 mm,16 GB,70%,135 g,16:09
Xiaomi,Xiaomi Redmi Note 4X,135,//cdn-files.kimovil.com/phone_front/0001/58/thumb_57694_phone_front_x_small.jpeg,On Sale,6.3,7.5,5.9,6.1,6,6,0,4100 mAh,ARM Cortex,401 ppi Very high density,5.5,5 Mpx/--,13 Mpx/2.0,Android 7.0Nougat,MIUI V9 (Android 7.1 Nougat),Qualcomm Snapdragon 625 MSM8953,3 GB RAM,1080 x 1920 px,LCD IPS,76.0 mm  151.0 mm  8.4 mm,32 GB,72%,165 g,16:09
Xiaomi,Xiaomi Redmi 4X,135,//cdn-files.kimovil.com/phone_front/0001/61/thumb_60077_phone_front_x_small.jpeg,On Sale,5.7,6.9,5.4,5.6,5.3,5.2,0,4100 mAh,8x1.4GHz ARM Cortex A53,294 ppi Medium Density,5,5 Mpx/--,13 Mpx/2.0,Android 9.0P,MIUI V11 (Android 9 P),Qualcomm Snapdragon 435 MSM8940,2 GB RAM,720 x 1280 px,LCD IPS,70.0 mm  139.2 mm  8.7 mm,16 GB,70%,150 g,16:09
Xiaomi,Xiaomi Mi5c,139,//cdn-files.kimovil.com/phone_front/0001/60/thumb_59966_phone_front_x_small.jpeg,On Sale,5.2,3.7,3.9,6,6.1,6.4,0,2860 mAh,4x 2.2 GHz ARM Cortex,428 ppi Very high density,5.15,8 Mpx/2.0,12 Mpx/2.2,Android 7.0Nougat,MIUI V9 (Android 7.1.1 Nougat),Xiaomi Surge S1,3 GB RAM,1080 x 1920 px,LCD IPS,69.7 mm  144.4 mm  7.1 mm,64 GB,72%,135 g,16:09
Xiaomi,Xiaomi Mi6,226,//cdn-files.kimovil.com/phone_front/0001/67/thumb_66416_phone_front_x_small.jpeg,On Sale,6.9,5.9,7.6,7.1,7.7,6.3,0,3350 mAh,4x 2.45 GHz Kryo + 4x 2.15 GHz Kryo,428 ppi Very high density,5.15,8 Mpx/--,12 Mpx/1.8,Android 9.0P,MIUI V11 (Android 9 P),Qualcomm Snapdragon 835,6 GB RAM,1080 x 1920 px,LCD IPS,70.5 mm  145.2 mm  7.5 mm,64 GB,71%,168 g,16:09
Xiaomi,Xiaomi Mi Max 2,241,//cdn-files.kimovil.com/phone_front/0001/71/thumb_70824_phone_front_x_small.jpeg,On Sale,6.9,8.8,6.7,6.5,6.2,6.3,0,5300 mAh,ARM Cortex,342 ppi High Density,6.44,5 Mpx/2.0,12 Mpx/2.2,Android 9.0P,MIUI V11 (Android 9 P),Qualcomm Snapdragon 625 MSM8953,4 GB RAM,1080 x 1920 px,LCD IPS,88.7 mm  174.1 mm  7.6 mm,64 GB,74%,211 g,16:09
Xiaomi,Xiaomi Mi5x,165,//cdn-files.kimovil.com/phone_front/0001/79/thumb_78413_phone_front_x_small.jpeg,On Sale,5.8,5,6.2,6.4,5.7,5.8,0,3080 mAh,ARM Cortex,401 ppi Very high density,5.5,5 Mpx/--,12 Mpx/2.2,Android 7.0Nougat,MIUI V9 (Android 7.1.1 Nougat),Qualcomm Snapdragon 625 MSM8953,4 GB RAM,1080 x 1920 px,LCD IPS,75.8 mm  155.4 mm  7.3 mm,64 GB,70%,165 g,16:09
Xiaomi,Xiaomi Redmi Note 5A,135,//cdn-files.kimovil.com/phone_front/0001/84/thumb_83104_phone_front_x_small.jpeg,On Sale,5.1,5.1,3.9,5.9,4.5,6,0,3080 mAh,ARM Cortex,267 ppi Medium Density,5.5,5 Mpx/2.0,13 Mpx/2.2,Android 9.0P,MIUI V11 (Android 9 P),Qualcomm Snapdragon 425 MSM8917,2 GB RAM,720 x 1280 px,LCD IPS,76.2 mm  153.0 mm  7.3 mm,16 GB,71%,150 g,16:09
