average_rating,battery_rating,brand,camera_rating,connectivity_rating,design_rating,performance_rating,phone_image,phone_name,user_rating
4.4,4.6,Huawei,4.7,4.1,4.3,4.1,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220486_devicerender_small.jpeg,Huawei Honor 5A,0
4.6,4.6,Huawei,4.5,4.3,4.7,5.0,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220353_devicerender_small.jpeg,Huawei GT3,0
2.9,2.8,Huawei,2.8,3.9,2.1,2.8,//cdn-files.kimovil.com/phone_front/0001/31/thumb_30831_phone_front_medium.jpeg,Huawei Y3 II,0
3.8,3.7,Huawei,4.7,3.0,3.4,4.1,//cdn-files.kimovil.com/phone_front/0001/32/thumb_31686_phone_front_medium.jpeg,Huawei Y6 II,0
6.0,4.5,Huawei,7.0,6.4,5.7,6.5,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220555_devicerender_small.jpeg,Huawei Honor 8,0
5.5,5.7,Huawei,6.7,4.6,5.1,5.5,//cdn-files.kimovil.com/phone_front/0001/32/thumb_31118_phone_front_medium.jpeg,Huawei Maimang 5,0
5.5,5.7,Huawei,6.7,4.8,5.1,5.2,//cdn-files.kimovil.com/phone_front/0001/36/thumb_35096_phone_front_medium.jpeg,Huawei G9 Plus,0
6.5,7.8,Huawei,7.2,5.7,5.2,6.8,//cdn-files.kimovil.com/phone_front/0001/33/thumb_32466_phone_front_medium.jpeg,Huawei Honor Note 8,0
3.7,2.9,Huawei,4.2,4.6,3.4,3.4,//cdn-files.kimovil.com/phone_front/0001/58/thumb_57401_phone_front_medium.jpeg,Huawei Honor 5,0
3.6,2.6,Huawei,4.3,4.0,3.4,3.5,//cdn-files.kimovil.com/phone_front/0001/87/thumb_86525_phone_front_medium.jpeg,Huawei Y6II Compact,0
5.7,4.9,Huawei,6.8,4.6,6.3,5.7,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220560_devicerender_small.jpeg,Huawei Nova,0
4.5,4.8,Huawei,4.6,4.7,4.6,3.8,//cdn-files.kimovil.com/phone_front/0002/49/thumb_148573_phone_front_medium.jpeg,Huawei Honor Holly 3,0
5.3,5.6,Huawei,5.2,5.7,4.8,5.4,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220750_devicerender_small.jpeg,Huawei Honor 6X,0
5.1,7.0,Huawei,4.3,4.1,5.6,4.6,//cdn-files.kimovil.com/phone_front/0001/43/thumb_42980_phone_front_medium.jpeg,Huawei Enjoy 6,0
5.3,5.6,Huawei,5.1,5.9,4.8,5.1,//cdn-files.kimovil.com/phone_front/0001/66/thumb_65296_phone_front_medium.jpeg,Huawei Mate 9 Lite,0
7.1,6.7,Huawei,7.2,7.9,6.5,7.1,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220656_devicerender_small.jpeg,Huawei Mate 9,0
7.3,6.7,Huawei,7.2,8.5,7.0,7.0,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220631_devicerender_small.jpeg,Huawei Mate 9 Pro,0
4.6,4.5,Huawei,4.3,4.4,4.9,4.7,//cdn-files.kimovil.com/phone_front/0001/51/thumb_50786_phone_front_medium.jpeg,Huawei Enjoy 6s,0
5.4,4.6,Huawei,6.0,6.1,5.7,4.8,//cdn-files.kimovil.com/phone_front/0002/50/thumb_149104_phone_front_medium.jpeg,Huawei Honor 8 Smart,0
5.7,3.9,Huawei,5.3,8.1,5.3,6.0,//cdn-files.kimovil.com/phone_front/0001/50/thumb_49598_phone_front_medium.jpeg,Huawei Honor Magic,0
4.1,2.3,Huawei,6.1,4.7,3.3,4.1,//cdn-files.kimovil.com/phone_front/0001/61/thumb_60774_phone_front_medium.jpeg,Huawei P8 Lite Smart,0
5.5,4.5,Huawei,6.0,6.1,5.4,5.3,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220822_devicerender_small.jpeg,Huawei P9 Lite 2017,0
5.2,4.5,Huawei,5.2,5.6,5.4,5.4,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220741_devicerender_small.jpeg,Huawei P8 Lite 2017,0
4.7,4.5,Huawei,4.3,4.5,5.1,5.3,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220910_devicerender_small.jpeg,Huawei Honor 8 Lite,0
4.7,5.6,Huawei,3.4,4.3,4.9,5.1,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220750_devicerender_small.jpeg,Huawei GR5 2017,0
4.8,4.5,Huawei,4.5,4.8,5.1,5.3,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221180_devicerender_small.jpeg,Huawei Nova Lite,0
6.4,6.7,Huawei,5.9,6.8,5.8,7.0,//cdn-files.kimovil.com/phone_front/0001/60/thumb_59008_phone_front_medium.jpeg,Huawei Honor V9,0
6.9,6.3,Huawei,6.9,8.1,6.1,7.2,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220854_devicerender_small.jpeg,Huawei P10 Plus,0
7.0,5.3,Huawei,7.8,8.0,6.8,7.1,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220857_devicerender_small.jpeg,Huawei P10,0
6.6,6.7,Huawei,5.9,7.1,6.1,7.2,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220866_devicerender_small.jpeg,Huawei Honor 8 Pro,0
5.3,4.1,Huawei,4.3,6.2,5.6,6.2,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220795_devicerender_small.jpeg,Huawei P10 Lite,0
4.5,4.5,Huawei,4.3,4.6,4.3,4.8,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220851_devicerender_small.jpeg,Huawei Honor 6C,0
5.5,5.5,Huawei,5.3,5.3,5.3,6.1,//cdn-files.kimovil.com/phone_front/0002/49/thumb_148270_phone_front_medium.jpeg,Huawei Honor 9i India,0
2.9,2.8,Huawei,2.8,3.3,2.3,3.4,//cdn-files.kimovil.com/phone_front/0002/49/thumb_148799_phone_front_medium.jpeg,Huawei Honor Bee 2,0
4.8,6.6,Huawei,4.4,4.1,3.8,5.1,//cdn-files.kimovil.com/phone_front/0001/68/thumb_67127_phone_front_medium.jpeg,Huawei Enjoy 7 Plus,0
4.5,4.5,Huawei,4.3,3.9,4.8,4.8,//cdn-files.kimovil.com/phone_front/0001/37/thumb_36072_phone_front_medium.jpeg,Huawei Nova Smart,0
4.8,4.1,Huawei,4.3,4.2,5.7,5.8,//cdn-files.kimovil.com/phone_front/0001/69/thumb_68440_phone_front_medium.jpeg,Huawei Nova Youth,0
